StateCode,NCESSCH,PCT_BACH,PCT_ADVC,P_EXPLT6,P_EXPGT5,MEAN_EXP,M_BSALT6,M_BSAGT5,M_BSAL
4,40068000023,59.5,40.5,28.6,71.4,9,35567,40476,39073
4,40068000025,46.9,53.1,18.8,81.3,15,35096,49878,47106
4,40068000026,69.7,30.3,30.3,69.7,12,33624,46072,42300
4,40068000027,57.8,42.2,35.6,64.4,10,34983,44179,40909
4,40068000028,50,47.7,18.2,81.8,14,35545,46568,44564
4,40068000029,60.6,36.4,27.3,72.7,13,33852,46289,42897
4,40068000030,46.2,53.8,53.8,46.2,7,33425,43237,37953
4,40068000031,40.7,59.3,11.1,88.9,16,35757,48796,47347
4,40068000032,52.2,47.8,25.6,74.4,13,35330,46667,43770
4,40068000033,47.7,51.1,20.5,79.5,15,33739,49272,46095
4,40068001001,60.5,36.8,31.6,68.4,10,33559,44257,40879
4,40068001031,52,48,20,80,12,32471,46659,43821
4,40068001286,42.9,57.1,28.6,71.4,12,35930,46329,43358
4,40068001394,59.5,38.1,19,81,12,34554,44517,42619
4,40068001525,40,57.8,24.4,75.6,10,33565,43931,41397
4,40068002066,56.8,43.2,21.6,78.4,11,33274,45285,42688
4,40068002198,55.1,44.9,40.4,59.6,10,34542,45545,41095
4,40072000034,58.8,35.3,23.5,76.5,11,38232,46837,44812
4,40079000040,75,25,65.6,34.4,6,33463,44307,37191
4,40079000041,44,56,24,76,14,33705,49885,46001
4,40079000042,55.3,44.7,47.4,52.6,10,34820,48763,42158
4,40079000043,40,57.3,25.3,74.7,13,34985,48447,45036
4,40079001200,61.3,38.7,38.7,61.3,8,33651,44878,40532
4,40079001461,55.6,44.4,47.2,52.8,11,33570,51259,42906
4,40079001628,35.9,64.1,35.9,64.1,10,36401,45474,42217
4,40079002212,44.4,55.6,29.6,70.4,10,36399,44814,42320
4,40079002345,37.5,62.5,-1,87.5,12,-1,46369,44648
4,40084000044,66.7,33.3,50,50,9,38391,42541,40466
4,40087000046,75,-1,75,-1,6,27359,-1,30571
4,40091000047,71.4,-1,-1,71.4,7,-1,35532,36308
4,40091000048,42.9,-1,-1,85.7,7,-1,42185,42582
4,40091001059,-1,-1,-1,-1,5,-1,-1,41277
4,40096000049,50,50,44.2,55.8,9,35924,55323,46743
4,40096000051,57.6,42.4,42.4,57.6,9,35382,54151,46188
4,40096001154,65.8,34.2,63.2,36.8,5,36338,47597,40486
4,40096001878,74.2,25.8,58.1,41.9,6,35703,45753,39918
4,40096002255,54.5,45.5,70.5,29.5,5,35793,50966,40276
4,40096002381,58.3,41.7,54.2,45.8,8,35430,55502,44630
4,40096002494,47.6,52.4,35.7,64.3,8,38398,49391,45465
4,40100000052,63.6,36.4,54.5,45.5,7,39000,42499,40590
4,40100000053,-1,75,-1,-1,8,-1,-1,42480
4,40105000054,50,50,47.9,52.1,8,38987,47173,43250
4,40105000055,81.1,18.9,62.2,37.8,7,38131,47848,41807
4,40105000056,56.3,43.8,31.3,68.8,11,38976,49331,46095
4,40105000057,54.1,45.9,43.2,56.8,9,38160,48439,43994
4,40105003142,74.2,25.8,77.4,22.6,4,37810,42106,38780
4,40108000059,55,45,40,60,9,31794,42872,38441
4,40116000062,75,25,50,50,7,38841,38921,38881
4,40118000063,71.4,28.6,38.1,61.9,8,37743,41778,40240
4,40118000064,71.4,-1,-1,85.7,15,-1,42997,42219
4,40118000066,53.8,46.2,-1,84.6,15,-1,44991,43997
4,40118001817,50,50,30,70,11,35734,44757,42050
4,40126000070,-1,80,0,100,16,-2,39615,39615
4,40129000071,50,50,-1,83.3,11,-1,34728,33666
4,40133000072,-1,60,0,100,18,-2,47808,47808
4,40133000073,75,-1,0,100,16,-2,42699,42699
4,40138002490,81.3,18.8,62.5,37.5,6,32642,37469,34452
4,40138002491,83.3,16.7,56.7,43.3,7,32891,41161,36475
4,40138002492,83.3,16.7,66.7,33.3,5,31659,39689,34336
4,40138002642,81.8,18.2,90.9,-1,4,31128,-1,32272
4,40138003123,85,12.5,60,40,6,31021,39376,34363
4,40141000075,69.1,27.9,50,50,8,39307,45834,42571
4,40141002137,50,50,40.9,59.1,8,38867,45204,42611
4,40141003082,0,100,0,100,10,-2,41665,41665
4,40146000077,65.5,34.5,17.2,82.8,12,30714,43672,41438
4,40146000078,56.1,43.9,19.5,80.5,13,32100,42383,40376
4,40146000080,72,28,48,52,11,29403,47137,38625
4,40146000081,52.3,47.7,26.5,73.5,12,31910,43988,40785
4,40146000213,52.6,47.4,31.6,68.4,10,30159,42808,38813
4,40146001050,64.3,35.7,17.9,82.1,17,30629,47942,44850
4,40146001051,79.3,20.7,24.1,75.9,13,30846,42866,39965
4,40146001356,56.3,43.8,21.9,78.1,12,28708,43906,40582
4,40146003062,69.6,30.4,39.1,60.9,9,31341,40386,36847
4,40150000084,78.9,21.1,52.6,47.4,7,33375,37276,35223
4,40150000085,70.6,29.4,73.5,26.5,6,34025,40436,35722
4,40150000855,78.4,18.9,59.5,40.5,6,33527,38380,35494
4,40150001053,86.8,13.2,68.4,31.6,4,32795,37431,34259
4,40150001528,92.6,-1,44.4,55.6,10,34341,40843,37953
4,40150001757,77.4,22.6,54.8,45.2,8,33786,44115,38451
4,40150002184,81.3,18.8,75,25,5,30763,35698,31997
4,40160000086,66.7,33.3,41,59,11,34674,43874,40100
4,40160000087,47.6,52.4,14.3,85.7,12,36343,41998,41190
4,40160001529,52.6,47.4,36.8,63.2,11,36706,41851,39956
4,40160003173,0,-1,0,-1,-1,-2,-1,-1
4,40165000088,81.8,-1,45.5,54.5,9,33629,38822,36461
4,40168000089,61.5,32.7,51.9,48.1,9,35783,53513,44307
4,40168000091,53.2,46.8,51.1,48.9,9,39571,50575,44956
4,40168000092,60,40,46.2,53.8,8,35828,50034,43477
4,40168000093,56.4,42.3,50,50,9,37759,49125,43442
4,40168000094,62.3,37.7,60.9,39.1,7,34535,49183,40267
4,40168000095,62.2,37.8,64.9,35.1,7,37662,52708,42949
4,40168000096,60,37.8,62.2,37.8,8,35850,53120,42374
4,40168000097,57.4,42.6,55.3,44.7,8,37697,51278,43765
4,40168000098,40.7,59.3,42.6,57.4,9,37500,52125,45896
4,40168000100,61.9,38.1,57.1,42.9,7,38536,50250,43556
4,40168000101,48.3,51.7,41.7,58.3,10,38356,51408,45970
4,40168000102,57.7,42.3,46.2,53.8,10,36344,52056,44804
4,40168000104,43.6,56.4,43.6,56.4,9,39754,53551,47531
4,40168000105,48.1,51.9,51.9,48.1,9,38475,54494,46176
4,40168001054,57.1,42.9,45.7,54.3,8,37271,48487,43360
4,40168001055,54.5,45.5,41.8,58.2,9,36762,49986,44456
4,40168001426,-1,-1,75,-1,9,41640,-1,48868
4,40168001530,66.7,33.3,72.2,27.8,8,37275,42601,38755
4,40168001709,66,34,50,50,8,34965,52498,43732
4,40168002005,46.4,53.6,52.2,47.8,8,37517,50242,43603
4,40168002135,47.5,52.5,47.5,52.5,11,36807,56976,47396
4,40168003122,52.3,47.7,68.2,31.8,6,39300,52190,43401
4,40171000106,67.9,32.1,42.9,57.1,8,37004,44674,41387
4,40171000107,48.3,51.7,58.6,41.4,8,37666,48167,42011
4,40171000109,86.4,13.6,54.5,45.5,8,36618,45693,40743
4,40171000111,65.5,34.5,44.8,55.2,7,35998,45056,40995
4,40171000112,51.9,48.1,14.8,85.2,13,39188,46554,45463
4,40171001027,71.1,28.9,63.2,36.8,7,36922,43473,39335
4,40171001056,57.1,42.9,46.4,53.6,7,37148,43754,40687
4,40171001357,63.3,36.7,40,60,10,36649,47575,43204
4,40171002213,57.1,42.9,26.5,73.5,10,38569,45598,43733
4,40171002574,66.7,33.3,70.8,29.2,4,36690,42837,38483
4,40174000113,52.1,46.4,38.6,61.4,10,35725,44681,41227
4,40174001629,70,30,60,40,6,40605,44979,42355
4,40174002214,40.9,59.1,36.4,63.6,11,37870,38684,38388
4,40176000011,41.3,57.6,31.5,68.5,10,36221,47638,44039
4,40176000116,41.5,58.5,26.8,73.2,11,34845,48197,44615
4,40176000117,46.2,53.8,34.6,65.4,12,35910,49242,44627
4,40176001002,26.9,69.2,23.1,76.9,12,35167,49586,46258
4,40176001032,55.2,44.8,24.1,75.9,13,34400,49720,46022
4,40176001358,58.3,41.7,20.8,79.2,10,35637,46033,43867
4,40176001487,38.2,58.8,35.3,64.7,9,36785,46239,42902
4,40176001531,0,100,0,100,9,-2,40548,40548
4,40181000325,73.9,26.1,13,87,14,31434,41478,40168
4,40181002544,37.5,62.5,-1,75,8,-1,42113,38557
4,40187000013,48.8,51.2,48.8,51.2,8,38411,58229,48562
4,40187000123,29.1,70.3,27.7,72.3,11,41790,57207,52936
4,40187000125,38.2,61.8,35.3,64.7,8,39987,53279,48588
4,40187000127,48.4,51.6,51.6,48.4,6,40628,52904,46568
4,40187000128,56.1,43.9,49.1,50.9,9,40450,56562,48647
4,40187000129,35.9,64.1,41,59,9,42519,54063,49327
4,40187000131,53.3,46.7,33.3,66.7,9,39519,55656,50277
4,40187000133,31.1,68.9,47.5,52.5,7,42200,52057,47371
4,40187000615,33.3,66.7,31,69,9,40742,56653,51728
4,40187001058,62.5,37.5,52.5,47.5,7,39943,51727,45540
4,40187001155,45.5,54.5,58.2,41.8,7,41213,55611,47234
4,40187001206,24.1,75.9,41.4,58.6,10,41870,57708,51154
4,40187001289,53.6,46.4,42.9,57.1,7,43514,52237,48499
4,40187001359,35.3,64.7,38.2,61.8,8,40083,54524,49002
4,40187001399,44.4,55.6,51.9,48.1,9,40443,61813,50732
4,40187001400,46.4,53.6,41.1,58.9,9,41294,54793,49249
4,40187001532,30.4,69.6,28.3,71.7,9,41635,55630,51675
4,40187001533,29.3,70.7,44.8,55.2,8,41606,57834,50559
4,40187001675,30.8,69.2,28.2,71.8,12,40390,57343,52561
4,40187001676,42.2,57.8,33.3,66.7,9,40310,54214,49579
4,40187001677,19.3,79.3,27.6,72.4,9,42514,57767,53559
4,40187001678,50,50,42.9,57.1,8,39381,45960,43141
4,40187001996,35.8,64.2,34,66,9,41845,53987,49863
4,40187002125,37.7,62.3,32.1,67.9,9,41778,54943,50720
4,40187002250,45,53.6,70,30,4,42287,51826,45148
4,40187002251,40.8,59.2,42.9,57.1,6,42077,53293,48486
4,40187002346,53.3,46.7,60,40,6,39687,54670,45680
4,40187002379,66.7,33.3,69.4,30.6,5,42009,52542,45228
4,40187002380,46.8,53.2,46.8,53.2,7,42771,51019,47159
4,40187002478,38.9,61.1,75,25,5,43940,54026,46462
4,40187002479,34.4,65.6,87.5,12.5,4,43976,55014,45355
4,40187002480,63.6,36.4,60,40,6,39896,54950,45917
4,40187002587,43.2,56.8,51.4,48.6,8,40707,55308,47810
4,40187002646,55.2,44.8,86.2,13.8,4,40758,52382,42362
4,40194000135,60,40,7.5,92.5,14,32436,44897,43962
4,40194000136,39.5,60.5,7.9,92.1,17,34111,47555,46493
4,40194000137,58.7,41.3,31.7,68.3,9,33470,44395,40927
4,40194000138,44.8,55.2,17.2,82.8,14,34316,46185,44138
4,40194000140,50,50,13.3,86.7,15,33571,47514,45655
4,40194000145,56.7,43.3,20,80,12,33386,44781,42502
4,40194001139,-1,0,-1,-1,-1,-1,-1,-1
4,40194001488,35.3,64.7,0,100,18,-2,48587,48587
4,40211000150,-1,-1,-1,-1,10,-1,-1,30832
4,40211000151,71.4,-1,57.1,42.9,6,26165,32498,28879
4,40213000152,37.5,62.5,37.5,62.5,9,41481,49769,46661
4,40219000154,90.9,-1,27.3,72.7,11,32378,40997,38646
4,40222002220,90,-1,40,60,12,34432,47102,42034
4,40225000156,45.5,54.5,31.8,68.2,9,35114,40947,39091
4,40232000158,65.1,32.6,44.2,55.8,5,36073,37625,36939
4,40232000164,64.6,35.4,62.5,37.5,4,32924,37375,34593
4,40232001025,0,-1,0,-1,-1,-2,-1,-1
4,40232001208,78.6,21.4,71.4,28.6,4,33104,36125,33967
4,40232001534,73.7,26.3,52.6,47.4,4,31712,36917,34178
4,40232001966,75,-1,0,100,7,-2,42296,42296
4,40232002643,83.3,16.7,77.8,22.2,4,32297,37250,33398
4,40232003079,82.2,17.8,95.6,-1,2,33086,-1,33471
4,40237000165,88.2,-1,41.2,58.8,9,32807,38370,36079
